# T48 SPI catalog generated from T48SDK/T48_List.txt
Device	Manufacturer	RawId	SizeBytes	PageSize	Volts	Protocol	CommandSet	Type	Supported
S-25A010A	ABLIC		131072	256	3.3	SPI	25xx	SPI_NOR	true
S-25A020A	ABLIC		262144	256	3.3	SPI	25xx	SPI_NOR	true
S-25A040A	ABLIC		524288	256	3.3	SPI	25xx	SPI_NOR	true
S-25A080A	ABLIC		1048576	256	3.3	SPI	25xx	SPI_NOR	true
S-25A080B	ABLIC		1048576	256	3.3	SPI	25xx	SPI_NOR	true
S-25A160A	ABLIC		2097152	256	3.3	SPI	25xx	SPI_NOR	true
S-25A160B	ABLIC		2097152	256	3.3	SPI	25xx	SPI_NOR	true
S-25A320A	ABLIC		4194304	256	3.3	SPI	25xx	SPI_NOR	true
S-25A320B	ABLIC		4194304	256	3.3	SPI	25xx	SPI_NOR	true
S-25C010A	ABLIC		131072	256	3.3	SPI	25xx	SPI_NOR	true
S-25C020A	ABLIC		262144	256	3.3	SPI	25xx	SPI_NOR	true
S-25C040A	ABLIC		524288	256	3.3	SPI	25xx	SPI_NOR	true
S-25C080A	ABLIC		1048576	256	3.3	SPI	25xx	SPI_NOR	true
S-25C128A	ABLIC		16777216	256	3.3	SPI	25xx	SPI_NOR	true
S-25C160A	ABLIC		2097152	256	3.3	SPI	25xx	SPI_NOR	true
S-25C256A	ABLIC		33554432	256	3.3	SPI	25xx	SPI_NOR	true
S-25C320A	ABLIC		4194304	256	3.3	SPI	25xx	SPI_NOR	true
S-25C512A	ABLIC		67108864	256	3.3	SPI	25xx	SPI_NOR	true
S-25C640A	ABLIC		8388608	256	3.3	SPI	25xx	SPI_NOR	true
S-25CM01A	ABLIC		131072	256	3.3	SPI	25xx	SPI_NOR	true
AT25DN011	ADESTO		131072	256	3.3	SPI	25xx	SPI_NOR	true
AT25DN256	ADESTO		32768	256	3.3	SPI	25xx	SPI_NOR	true
AT25DN512C	ADESTO		65536	256	3.3	SPI	25xx	SPI_NOR	true
AT25SF041	ADESTO		524288	256	3.3	SPI	25xx	SPI_NOR	true
AT25SF081	ADESTO		1048576	256	3.3	SPI	25xx	SPI_NOR	true
AT25SF161	ADESTO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
AT25SF321	ADESTO		4194304	256	3.3	SPI	25xx	SPI_NOR	true
AT25SF641	ADESTO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
AT25SL128A	ADESTO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
AT25SL321	ADESTO		4194304	256	3.3	SPI	25xx	SPI_NOR	true
AT25SL641	ADESTO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
A25L010	AMIC		131072	256	3.3	SPI	25xx	SPI_NOR	true
A25L016	AMIC		2097152	256	3.3	SPI	25xx	SPI_NOR	true
A25L020	AMIC		262144	256	3.3	SPI	25xx	SPI_NOR	true
A25L032	AMIC		4194304	256	3.3	SPI	25xx	SPI_NOR	true
A25L040	AMIC		524288	256	3.3	SPI	25xx	SPI_NOR	true
A25L05PT	AMIC		65536	256	3.3	SPI	25xx	SPI_NOR	true
A25L05PU	AMIC		65536	256	3.3	SPI	25xx	SPI_NOR	true
A25L080	AMIC		1048576	256	3.3	SPI	25xx	SPI_NOR	true
A25L10PT	AMIC		1310720	256	3.3	SPI	25xx	SPI_NOR	true
A25L10PU	AMIC		1310720	256	3.3	SPI	25xx	SPI_NOR	true
A25L16PT	AMIC		2097152	256	3.3	SPI	25xx	SPI_NOR	true
A25L16PU	AMIC		2097152	256	3.3	SPI	25xx	SPI_NOR	true
A25L20PT	AMIC		2621440	256	3.3	SPI	25xx	SPI_NOR	true
A25L20PU	AMIC		2621440	256	3.3	SPI	25xx	SPI_NOR	true
A25L40PT	AMIC		5242880	256	3.3	SPI	25xx	SPI_NOR	true
A25L40PU	AMIC		5242880	256	3.3	SPI	25xx	SPI_NOR	true
A25L512	AMIC		67108864	256	3.3	SPI	25xx	SPI_NOR	true
A25L80PT	AMIC		10485760	256	3.3	SPI	25xx	SPI_NOR	true
A25L80PU	AMIC		10485760	256	3.3	SPI	25xx	SPI_NOR	true
A25LQ16	AMIC		2097152	256	3.3	SPI	25xx	SPI_NOR	true
A25LQ32	AMIC		4194304	256	3.3	SPI	25xx	SPI_NOR	true
A25LQ32A	AMIC		4194304	256	3.3	SPI	25xx	SPI_NOR	true
A25LQ64	AMIC		8388608	256	3.3	SPI	25xx	SPI_NOR	true
A25LS512A	AMIC		67108864	256	3.3	SPI	25xx	SPI_NOR	true
AT25010	ATMEL		128	256	3.3	SPI	25xx	SPI_NOR	true
AT25010-1.8	ATMEL		128	256	1.8	SPI	25xx	SPI_NOR	true
AT25010A	ATMEL		128	256	3.3	SPI	25xx	SPI_NOR	true
AT25020	ATMEL		256	256	3.3	SPI	25xx	SPI_NOR	true
AT25020-1.8	ATMEL		256	256	1.8	SPI	25xx	SPI_NOR	true
AT25020A	ATMEL		256	256	3.3	SPI	25xx	SPI_NOR	true
AT25040	ATMEL		512	256	3.3	SPI	25xx	SPI_NOR	true
AT25040-1.8	ATMEL		512	256	1.8	SPI	25xx	SPI_NOR	true
AT25040A	ATMEL		512	256	3.3	SPI	25xx	SPI_NOR	true
AT25080	ATMEL		1024	256	3.3	SPI	25xx	SPI_NOR	true
AT25080-1.8	ATMEL		1024	256	1.8	SPI	25xx	SPI_NOR	true
AT25080A	ATMEL		1024	256	3.3	SPI	25xx	SPI_NOR	true
AT25080B	ATMEL		1024	256	3.3	SPI	25xx	SPI_NOR	true
AT25128	ATMEL		16384	256	3.3	SPI	25xx	SPI_NOR	true
AT25128-1.8	ATMEL		16384	256	1.8	SPI	25xx	SPI_NOR	true
AT25128A	ATMEL		16384	256	3.3	SPI	25xx	SPI_NOR	true
AT25128B	ATMEL		16384	256	3.3	SPI	25xx	SPI_NOR	true
AT25160	ATMEL		2048	256	3.3	SPI	25xx	SPI_NOR	true
AT25160-1.8	ATMEL		2048	256	1.8	SPI	25xx	SPI_NOR	true
AT25160A	ATMEL		2048	256	3.3	SPI	25xx	SPI_NOR	true
AT25160B	ATMEL		2048	256	3.3	SPI	25xx	SPI_NOR	true
AT25256	ATMEL		32768	256	3.3	SPI	25xx	SPI_NOR	true
AT25256-1.8	ATMEL		32768	256	1.8	SPI	25xx	SPI_NOR	true
AT25256A	ATMEL		32768	256	3.3	SPI	25xx	SPI_NOR	true
AT25256B	ATMEL		32768	256	3.3	SPI	25xx	SPI_NOR	true
AT25320	ATMEL		4096	256	3.3	SPI	25xx	SPI_NOR	true
AT25320-1.8	ATMEL		4096	256	1.8	SPI	25xx	SPI_NOR	true
AT25320A	ATMEL		4096	256	3.3	SPI	25xx	SPI_NOR	true
AT25320B	ATMEL		4096	256	3.3	SPI	25xx	SPI_NOR	true
AT25512	ATMEL		65536	256	3.3	SPI	25xx	SPI_NOR	true
AT25512-1.8	ATMEL		65536	256	1.8	SPI	25xx	SPI_NOR	true
AT25640	ATMEL		8192	256	3.3	SPI	25xx	SPI_NOR	true
AT25640-1.8	ATMEL		8192	256	1.8	SPI	25xx	SPI_NOR	true
AT25640A	ATMEL		8192	256	3.3	SPI	25xx	SPI_NOR	true
AT25640B	ATMEL		8192	256	3.3	SPI	25xx	SPI_NOR	true
AT25DF021	ATMEL		262144	256	3.3	SPI	25xx	SPI_NOR	true
AT25DF041	ATMEL		524288	256	3.3	SPI	25xx	SPI_NOR	true
AT25DF041A	ATMEL		524288	256	3.3	SPI	25xx	SPI_NOR	true
AT25DF081	ATMEL		1048576	256	3.3	SPI	25xx	SPI_NOR	true
AT25DF081A	ATMEL		1048576	256	3.3	SPI	25xx	SPI_NOR	true
AT25DF161	ATMEL		2097152	256	3.3	SPI	25xx	SPI_NOR	true
AT25DF321	ATMEL		4194304	256	3.3	SPI	25xx	SPI_NOR	true
AT25DF321A	ATMEL		4194304	256	3.3	SPI	25xx	SPI_NOR	true
AT25DF321A(4701)	ATMEL		4194304	256	3.3	SPI	25xx	SPI_NOR	true
AT25DF641	ATMEL		8388608	256	3.3	SPI	25xx	SPI_NOR	true
AT25DN011	ATMEL		131072	256	3.3	SPI	25xx	SPI_NOR	true
AT25DN256	ATMEL		32768	256	3.3	SPI	25xx	SPI_NOR	true
AT25DN512C	ATMEL		65536	256	3.3	SPI	25xx	SPI_NOR	true
AT25F1024	ATMEL		131072	256	3.3	SPI	25xx	SPI_NOR	true
AT25F1024A	ATMEL		131072	256	3.3	SPI	25xx	SPI_NOR	true
AT25F2048	ATMEL		262144	256	3.3	SPI	25xx	SPI_NOR	true
AT25F2048A	ATMEL		262144	256	3.3	SPI	25xx	SPI_NOR	true
AT25F4096	ATMEL		524288	256	3.3	SPI	25xx	SPI_NOR	true
AT25F4096A	ATMEL		524288	256	3.3	SPI	25xx	SPI_NOR	true
AT25F512	ATMEL		65536	256	3.3	SPI	25xx	SPI_NOR	true
AT25F512A	ATMEL		65536	256	3.3	SPI	25xx	SPI_NOR	true
AT25HP256	ATMEL		33554432	256	3.3	SPI	25xx	SPI_NOR	true
AT25HP256-1.8	ATMEL		33554432	256	1.8	SPI	25xx	SPI_NOR	true
AT25HP512	ATMEL		67108864	256	3.3	SPI	25xx	SPI_NOR	true
AT25HP512-1.8	ATMEL		67108864	256	1.8	SPI	25xx	SPI_NOR	true
AT25M01	ATMEL		131072	256	3.3	SPI	25xx	SPI_NOR	true
AT25M02	ATMEL		262144	256	3.3	SPI	25xx	SPI_NOR	true
